location,coordinates,name,room type,room price,number of reviews,minimum nights,availibility,rooms rent by the host
 Universidad,"40.423186869921544, -3.7035930598966744",Habitación de diseño en pleno cntro,Private room,42,280,1,365,4
 Justicia,"40.42248433707653, -3.6997353684536805","Bonita, acogedora y en pleno centro",Private room,42,222,1,365,4
 Palos de Moguer,"40.40675325012036, -3.6932768941996206",B&B close to Atocha and Museums,Private room,30,133,2,0,1
 Fuente del Berro,"40.423860203702645, -3.665073670955617",APARTAMENTO EN BARRIO SALAMANCA-2,Entire home/apt,80,9,4,365,2
 Puerta del Angel,"40.4112621071575, -3.734644426746229","LOCATED IN THE MADRILIAN ""BRUCLIN""",Entire home/apt,70,161,1,364,1
 Palos de Moguer,"40.40487004222382, -3.6999931204273033",Single Room . Outside bathroom,Private room,25,22,1,1,1
 Palacio,"40.4090258650131, -3.7131899275504674",Super Beautiful apartment,Entire home/apt,170,45,2,365,2
 Cortes,"40.412233918098636, -3.7002034626432065",Sunny room. BALCONY. MADRID CENTRE,Private room,16,11,7,0,1
 Niño Jesús,"40.409211919037126, -3.675722644447022",Estudio en Madrid Parque del Retiro,Entire home/apt,62,34,7,89,1
 Ventas,"40.42766441948136, -3.6516248870206223",Un lugar gay friendly en un barrio  tranquilo,Private room,40,1,1,365,1
 Pacífico,"40.40625102665268, -3.6746907167043648",HUGE room near centre & park. Very comfortable,Private room,30,18,6,364,3
 Embajadores,"40.41210907487151, -3.703429811299064",HAPPY & LOVING TERRACE · CENTER,Entire home/apt,80,4,2,0,1
 Embajadores,"40.411956413244226, -3.6967402488097605",Central Location Newly Renovated Apartment,Entire home/apt,75,135,1,90,5
 Delicias,"40.39687576173788, -3.6937507163965755",alquiler de habitacione y por persona se cobra,Private room,30,3,3,364,3
 Prosperidad,"40.441885107539726, -3.678084658016187","Ático singular, Chamartín",Entire home/apt,100,105,2,365,1
 Palacio,"40.413379689361975, -3.7203674094120878",Luminosa y acogedora habitación,Private room,25,67,2,365,1
 Embajadores,"40.40793618581056, -3.701153944071692",Madrid Center Sunny Room wifi,Private room,25,43,1,0,2
 Hispanoamérica,"40.45818329047948, -3.6767957532863242",HERMOSA HABITACION  INDIVIDUAL,Private room,25,7,2,364,2
 Sol,"40.418630149355494, -3.7037630593268775",Hotel Florida Norte,Private room,50,0,1,0,1
 Palacio,"40.420493320401874, -3.710464636567028",Apartment in very centre of Madrid,Entire home/apt,44,1,14,0,1
 Vallehermoso,"40.439584226330055, -3.7071152158605507",Habitación en Vallehermoso,Private room,20,0,1,0,1
 Castillejos,"40.46057915735029, -3.6956347243007115",Apto. Eurobilding 2 Madrid cuzco,Entire home/apt,85,0,7,365,2
 Puerta del Angel,"40.41045186294209, -3.736525105962797",Habitación en Madrid Río,Private room,18,0,1,0,1
 Delicias,"40.39850450363244, -3.695089513801783",Purificación,Private room,30,0,1,0,1
 Sol,"40.417439795352024, -3.7015944979682174",YOUR HOME AT THE DOOR OF THE SUN,Entire home/apt,49,36,8,90,2
 Palos de Moguer,"40.40301788508305, -3.690163900041561",Descansa un minuto de Atocha Renfe¡,Private room,35,0,2,0,1
 Palacio,"40.417144817712234, -3.7107643106419776",APARTAMENTO CENTRO PALACIO REAL,Entire home/apt,65,3,1,0,1
 Ibiza,"40.41684028027243, -3.6777496079569634",COZY TERRACE RETIRO PARK + WIFI,Entire home/apt,100,47,3,0,1
 Embajadores,"40.40716111410248, -3.7010041851290088",Central Madrid room with balcony,Private room,25,0,1,0,1
 Sol,"40.414335377510575, -3.7045387534924212",Esencial Apartments Madrid 4,Entire home/apt,115,0,2,0,4
 Lista,"40.43180014888886, -3.676963657040286",Habitacion en piso compartido,Private room,35,0,30,365,1
 Acacias,"40.40048803177975, -3.701781458641899",Apartamento cerca del Rastro,Entire home/apt,120,4,15,364,1
 Justicia,"40.42325118040768, -3.6976286842726505",Habitacion doble en CHUECA,Private room,31,210,1,89,3
 Imperial,"40.412712687159164, -3.7176484842083677",Piso en Madrid Centro,Private room,35,0,1,365,1
 Castillejos,"40.457204507938656, -3.695744488237474",Estudio Madrid Bernabeu Cuzco,Entire home/apt,40,134,2,0,1
 Embajadores,"40.40835247062789, -3.702493519457331","Apto en Lavapiés, ideal para pareja",Entire home/apt,30,2,2,0,1
 Universidad,"40.42321092656108, -3.7087014275068295",Delicious room in the heart of  Madrid,Private room,32,122,1,179,2
 Trafalgar,"40.432493145987614, -3.701091701089595",Room,Private room,28,69,1,365,1
 Palacio,"40.41305357408417, -3.7105917854344304",New Apartment by Plaza Mayor.,Entire home/apt,125,132,30,365,2
 Universidad,"40.42756261275705, -3.714665036141864",Ambiente familiar y tranquilo,Private room,35,2,2,364,3
 Sol,"40.418724331961364, -3.7071535441084214",Sol Gran Via 3bedrooms 2bathrooms right  in center,Entire home/apt,150,93,3,1,4
 Embajadores,"40.40925227402438, -3.70852496532709",Cozy attic apartment in La Latina,Entire home/apt,53,11,3,365,7
 Casa de Campo,"40.42147377753068, -3.721867297057203",ATICO PRINCIPE,Entire home/apt,150,0,3,365,1
 Argüelles,"40.43111684483961, -3.7208388260773253",Cosy room&balcony close to center,Private room,12,0,1,0,1
 Universidad,"40.42389019898705, -3.702769307409961","Gran Vía centro Madrid ""Malasaña""",Entire home/apt,53,94,4,0,1
 Sol,"40.41586119282644, -3.7020472657971406",SOL Basic and Super Central Room,Private room,34,229,4,180,4
 Almagro,"40.43296141792726, -3.695484759723248",Apartment with terrace,Entire home/apt,150,0,1,365,1
 Justicia,"40.4229078857714, -3.69835650558873",Calle HORTALEZA a stone throw away from the fun,Private room,70,78,2,180,1
 Vallehermoso,"40.44512382200686, -3.7060595506472116",Apartment with Pool in Madrid Financial District,Entire home/apt,75,18,4,0,1
 Bellas Vistas,"40.44727786344452, -3.703908083434385",Apartamento completo cerca del distrito financiero,Entire home/apt,45,0,5,0,1
 Justicia,"40.42424602901773, -3.6974097003320168",Spacious Room in the Heart of Chueca,Private room,60,5,2,0,1
 Almenara,"40.46698621511158, -3.692262573655548",Double Room - Plaza Castilla,Private room,34,314,1,365,3
 Puerta Bonita,"40.38704345894491, -3.732416616649734",HABITACIÓN LUMINOSA,Private room,15,1,1,0,1
 Universidad,"40.42675675137776, -3.70297579821801",Bedroom in Malasaña with double bed and balcony.,Private room,45,57,4,0,2
